,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
125,Saldanha,PT,35.52,41.42,-6.55,80,12,1.81
126,Imbituba,BR,69.8,-28.24,-48.67,94,75,9.64
127,Makasar,ID,82.81,-6.28,106.88,70,40,3.36
128,Abu Dhabi,AE,58.06,24.47,54.37,77,0,9.19
129,Torbay,CA,35.6,47.66,-52.73,93,90,39.15
130,Bereznik,RU,31.74,62.86,42.71,94,92,5.73
131,Victoria,BN,83.48,5.28,115.24,74,75,6.93
132,Quelimane,MZ,75.3,-17.88,36.89,87,48,7.52
133,Vasai,IN,64.05,22.43,69.93,80,0,6.17
134,Ponta do Sol,BR,63.6,-20.63,-46,94,44,3.15
135,Colquechaca,BO,44.97,-18.7,-66,81,56,1.7
136,Christchurch,NZ,82.58,-43.53,172.64,23,0,6.93
137,Waipawa,NZ,75,-39.94,176.59,61,44,3
138,Macia,MZ,76.11,-25.03,33.09,85,100,4.94
139,Itoman,JP,68.27,26.12,127.67,42,20,9.17
140,Paragominas,BR,73.77,-3,-47.35,99,92,4.83
141,Mayo,CA,30.2,63.59,-135.9,68,75,6.93
142,Kokkola,FI,15.03,63.84,23.13,78,0,10.29
143,Nemuro,JP,32,43.32,145.57,92,75,8.05
144,Vieques,PR,71.47,18.43,-65.83,78,20,8.05
145,Mecca,SA,56.67,21.43,39.83,72,0,3.15
146,Komsomolskiy,RU,10.32,67.55,63.78,78,76,9.42
147,Kharan,PK,41.46,28.58,65.42,81,12,2.71
148,Dolores,AR,62.52,-36.31,-57.68,87,92,7.74
149,Chunoyar,RU,24.54,57.45,97.32,70,64,8.19
150,Damara,CF,78.8,4.96,18.7,69,0,4.7
151,Westport,IE,40.93,53.8,-9.52,81,92,11.01
152,Esso,RU,16.17,55.93,158.7,77,0,2.93
153,Yumen,CN,34.26,40.29,97.04,58,0,6.85
154,Tuatapere,NZ,68,-46.13,167.69,79,56,5.01
155,Flinders,AU,91.85,-34.58,150.85,22,0,21.92
156,Luderitz,NA,58.65,-26.65,15.16,85,0,13.67
157,Takoradi,GH,81.42,4.89,-1.75,100,8,8.41
158,Malia,GR,57.76,35.28,25.46,72,40,14.99
159,Codrington,AU,95.63,-28.95,153.24,21,40,11.41
160,Severodvinsk,RU,32,64.56,39.82,95,90,6.71
161,Kavaratti,IN,82.32,10.57,72.64,100,76,5.5
162,Esna,RO,41.46,45.2,27.57,92,92,17.81
163,Port Elizabeth,US,47.41,39.31,-74.98,34,90,14.99
164,Avarua,CK,73.4,-21.21,-159.78,100,92,3.36
165,Tautira,PF,78.26,-17.73,-149.15,83,75,6.93
166,Port-Gentil,GA,82.23,-0.72,8.78,97,80,6.51
167,Brasilia,BR,82.4,-10.9,-37.55,69,40,8.05
168,Muriwai Beach,NZ,74.5,-36.82,174.45,60,0,4.7
169,Almaznyy,RU,33.8,48.03,40.04,86,0,11.18
170,Tiksi,RU,4.02,71.64,128.87,70,0,19.48
171,Boyolangu,ID,80.52,-8.09,111.9,90,20,4.72
172,Port Hedland,AU,98.6,-20.31,118.58,30,20,11.41
173,Guntur,IN,80.6,16.29,80.45,83,40,2.24
174,Merritt Island,US,72.37,28.54,-80.67,89,20,10.76
175,Maniitsoq,GL,5.37,65.42,-52.9,82,32,3.49
176,Guerrero Negro,MX,57.39,27.97,-114.04,99,64,10.76
177,Margate,AU,58.59,-43.03,147.26,36,40,14.99
178,Tsogni,GA,80.97,-2.79,10.1,100,76,0.69
179,Okhotsk,RU,19.5,59.36,143.24,80,44,4.5
180,Kavieng,PG,82.32,-2.57,150.8,100,76,11.65
181,Yulara,AU,102.2,-25.24,130.99,17,0,12.75
182,Beringovskiy,RU,0.24,63.05,179.32,84,24,24.29
183,Huanta,PE,44.34,-12.94,-74.25,97,88,2.59
184,Kuusamo,FI,3.2,65.96,29.19,84,0,9.17
185,Riohacha,CO,79.17,11.54,-72.91,82,76,17.92
186,Vagur,FO,45.78,61.47,-6.81,96,44,30.22
187,Chibombo,ZM,61.26,-14.68,28.09,92,8,1.92
188,Bowen,AU,89.29,-20.01,148.25,49,12,3.36
189,Castro,CL,50,-42.48,-73.76,100,0,3.36
190,Vila Franca do Campo,PT,56.95,37.72,-25.43,93,75,4.7
191,Aykhal,RU,10.23,65.95,111.51,81,56,4.05
192,Labuhan,ID,84.3,-2.54,115.51,77,64,3.15
193,Vestmannaeyjar,IS,41.82,63.44,-20.27,77,36,33.24
194,Sao Filipe,CV,72.87,14.9,-24.5,89,0,13
195,Punta Alta,AR,75.2,-27.46,-55.82,88,90,5.82
196,Pringsewu,ID,75.12,-5.36,104.98,91,80,3.71
197,San Patricio,PY,72.78,-26.98,-56.83,88,64,2.71
198,Trelaze,FR,37.18,47.45,-0.47,74,0,3.36
199,Namatanai,PG,80.52,-3.66,152.44,100,80,8.75
200,Egvekinot,RU,-4.99,66.32,-179.17,77,0,6.62
201,Novo Aripuana,BR,75.57,-5.12,-60.38,95,80,2.37
202,Dalhousie,IN,39.03,32.54,75.98,68,0,2.26
203,Fortuna,ES,46.29,38.18,-1.13,76,0,5.82
204,Mehamn,NO,23,71.03,27.85,73,75,9.17
205,Longfeng,CN,65.86,31.05,103.87,63,40,1.36
206,Tual,ID,81.96,-5.67,132.75,100,48,8.52
207,Miraflores,CO,55.32,5.2,-73.14,97,80,1.81
208,Belyy Yar,RU,32,53.6,91.39,57,80,10.98
209,Le Port,FR,33.93,42.87,1.37,78,20,1.7
210,Touros,BR,82.68,-5.2,-35.46,81,92,10.76
211,Rawson,AR,55.14,-43.3,-65.11,85,0,12.33
212,Jiuquan,CN,25.8,39.73,98.49,55,0,2.93
213,Ugoofaaru,MV,83.22,5.67,73,100,0,8.63
214,Ilulissat,GL,3.2,69.22,-51.1,65,48,2.24
215,Bichena,ET,55.77,10.45,38.2,79,76,1.92
216,Marawi,PH,80.01,8,124.29,74,20,5.99
217,Matagami,NG,60.63,9.67,8.4,71,0,2.26
218,Barmer,IN,62.52,25.74,71.4,42,68,2.93
219,Smithers,CA,30.2,54.78,-127.17,100,40,2.71
220,Saint George,GR,53.73,39.45,22.34,62,75,4.7
221,Bonthe,SL,78.72,7.53,-12.5,95,12,3.83
222,Brokopondo,SR,75.2,5.06,-54.98,94,0,3.36
223,Beibei,CN,59,29.83,106.43,72,76,4.47
224,Puerto Ayora,EC,79,-0.74,-90.35,83,0,8.01
225,Belaya Gora,RU,-3.1,68.54,146.19,87,36,4.16
226,Bundaberg,AU,90.39,-24.87,152.35,55,32,17.22
227,Guhagar,IN,74.76,17.48,73.19,94,36,10.76
228,Vaitape,PF,79.98,-16.52,-151.75,100,76,6.73
229,Princeton,US,30.79,41.37,-89.46,92,1,2.93
230,Vardo,US,44.02,39.62,-77.74,36,1,18.34
231,Warwick,US,36.97,41.7,-71.42,55,40,6.93
232,North Bend,US,48.04,43.41,-124.22,87,90,4.7
233,Teya,MX,84.97,21.05,-89.07,48,5,13.87
234,Tommot,RU,12.3,58.97,126.27,57,0,3.38
235,Khandyga,RU,13.83,62.65,135.58,62,64,3.38
236,Cidreira,BR,69.63,-30.17,-50.22,92,68,13.78
237,Namwala,ZM,65.22,-15.75,26.45,94,8,5.95
238,Sosnovo-Ozerskoye,RU,19.86,52.53,111.54,74,24,6.17
239,Tete,MZ,73.08,-16.16,33.59,94,40,6.17
240,Wencheng,CN,64.5,27.79,120.09,55,0,2.04
241,Obihiro,JP,40.66,42.92,143.2,56,40,11.41
242,Balti,MD,36.63,47.76,27.93,59,0,3.36
243,Cherskiy,RU,-2.65,68.75,161.3,73,64,2.71
244,Airai,TL,77.1,-8.93,125.41,83,68,1.59
245,Muisne,EC,73.77,0.61,-80.02,89,44,2.82
246,Taoudenni,ML,57.3,22.68,-3.98,31,0,11.77
247,Igrim,RU,15.09,63.19,64.42,80,20,3.71
248,Srednekolymsk,RU,4.65,67.46,153.71,69,64,3.15
249,Carnarvon,ZA,56.49,-30.97,22.13,93,44,12.21
250,Constitucion,MX,71.6,23.99,-104.67,19,90,11.41
251,Luanda,AO,80.6,-8.83,13.24,83,75,3.36
252,Alvaraes,BR,74.94,-3.22,-64.8,96,48,3.27
253,San Quintin,PH,84.3,17.54,120.52,51,0,4.05
254,Hasaki,JP,60.82,35.73,140.83,100,20,4.7
255,Dukat,RS,35.01,42.44,22.31,78,92,4
256,Yerbogachen,RU,22.2,61.28,108.01,80,88,5.39
257,Zapopan,MX,70.05,20.7,-103.42,33,75,9.17
258,Kununurra,AU,93.2,-15.77,128.74,52,75,5.82
259,Comodoro Rivadavia,AR,55.4,-45.87,-67.48,71,0,5.82
260,Eureka,US,46.54,40.8,-124.16,81,1,4.7
261,Hirara,JP,72.52,24.8,125.28,40,0,10.29
262,Las Rosas,AR,60.18,-32.48,-61.58,95,100,4.38
263,Nelson Bay,AU,85.05,-32.72,152.14,54,20,16.11
264,Aklavik,CA,-0.41,68.22,-135.01,70,90,12.75
265,Urucara,BR,72.87,-2.54,-57.76,100,92,2.59
266,Kimbe,PG,76.47,-5.56,150.15,100,92,4.16
267,Sola,FI,21.2,62.78,29.36,92,90,9.17
268,Paita,PE,75.93,-5.09,-81.11,81,8,6.17
269,Balsas,BR,74.22,-7.53,-46.04,90,76,2.59
270,Hamilton,BM,65.05,32.3,-64.78,77,40,10.29
271,Provideniya,RU,10.4,64.42,-173.23,55,20,20.13
272,Kupang,ID,87.8,-10.16,123.6,66,20,10.29
273,Lima,PE,73.8,-12.06,-77.04,88,0,8.05
274,Port Hardy,CA,39.2,50.7,-127.42,93,75,2.82
275,Serebryansk,KZ,22.56,49.68,83.3,83,24,2.04
276,Barcelos,PT,45.21,41.53,-8.62,100,0,2.26
277,Zyryanka,RU,3.39,65.73,150.89,73,76,2.93
278,Amapa,HN,78.8,15.09,-87.97,83,20,8.05
279,Charters Towers,AU,90.33,-20.07,146.27,63,0,5.28
280,Ponot,PH,84.03,8.45,123.02,70,20,12.44
281,Atar,MR,64.23,20.52,-13.05,33,0,9.19
282,Tilichiki,RU,12.03,60.47,166.1,79,0,3.71
283,Vicosa,BR,73,-20.75,-42.88,99,92,1.01
284,Sao Jose da Coroa Grande,BR,79.08,-8.9,-35.15,92,92,5.73
285,La Ronge,CA,35.6,55.1,-105.3,47,20,8.05
286,Heihe,RU,24.8,50.24,127.51,73,75,15.66
287,Takaka,NZ,66.18,-40.86,172.81,94,92,1.99
288,Camopi,GF,76.02,3.17,-52.33,84,80,2.93
289,Bilibino,RU,-3.46,68.06,166.44,72,8,2.93
290,Poum,MK,41.1,41.28,20.71,74,64,0.25
291,Romny,UA,25.17,50.74,33.49,86,0,8.97
292,Hashtrud,IR,16.71,37.48,47.05,65,0,2.59
293,Port Augusta,AU,74.23,-32.49,137.76,60,40,17.22
294,Coihaique,CL,50,-45.58,-72.07,81,0,4.7
295,Creel,MX,55.5,27.75,-107.63,29,88,10.98
296,Faanui,PF,81.96,-16.48,-151.75,100,76,9.53
297,Beloha,MG,72.87,-25.17,45.06,79,0,13.67
298,Muskegon,US,25.84,43.23,-86.25,58,1,5.82
299,Limbang,BN,83.3,4.75,115.01,74,75,4.7
300,Gamba,CN,12.75,28.28,88.52,82,0,6.4
301,Pangkalanbuun,ID,84.12,-2.68,111.62,89,44,4.16
302,Jieshi,CN,68.37,22.82,115.83,98,0,9.19
303,Joshimath,IN,15.45,30.57,79.57,99,0,1.14
304,Maceio,BR,77,-9.67,-35.74,83,20,2.24
305,Miandrivazo,MG,76.92,-19.53,45.46,71,92,9.75
306,Peleduy,RU,22.47,59.63,112.75,75,80,6.85
307,Fairbanks,US,34.27,64.84,-147.72,89,90,5.82
308,Broken Hill,AU,75.2,-31.97,141.45,33,0,10.29
309,Loa Janan,ID,86.28,-0.58,117.09,73,8,2.93
310,Rosario do Sul,BR,71.43,-30.26,-54.91,80,100,13
311,Llandrindod Wells,GB,46.35,52.24,-3.38,95,92,25.01
312,Coihueco,CL,57.2,-36.63,-71.83,87,0,3.36
313,Xining,CN,33.72,36.62,101.77,18,0,1.48
314,Busembatia,UG,65.76,0.77,33.62,69,0,6.51
315,Turmalina,BR,77.55,-17.29,-42.73,51,36,12.44
316,Birao,CF,66.21,10.3,22.78,33,0,10.42
317,Biak,ID,86.37,-0.91,122.88,76,36,2.71
318,Ponta Pora,BR,73.14,-22.54,-55.73,87,24,4.94
319,Taua,SL,80.6,8.79,-12.72,78,40,8.05
320,Dwarka,IN,62.6,28.58,77.04,72,20,4.7
321,Miyako,JP,57.63,33.63,130.94,41,40,18.34
322,Oktyabrskiy,RU,27.37,55.61,37.97,74,0,4.47
323,Avera,US,53.85,33.19,-82.53,100,1,3.15
324,Arroyo,US,30.49,41.39,-78.88,74,1,8.05
325,Bam,IR,30.3,29.11,58.36,71,0,3.38
326,Sobolevo,RU,20.94,54.43,31.9,89,64,8.97
327,Biskamzha,RU,22.02,53.45,89.53,76,20,3.49
328,Mao,DO,72.1,19.55,-71.08,94,20,4.7
329,Baykit,RU,22.92,61.68,96.39,83,80,9.98
330,Buala,SB,88.26,-8.15,159.59,74,44,6.85
331,Ponta Delgada,PT,56.88,37.73,-25.67,93,75,4.7
332,Tianpeng,CN,61.89,28.88,112.34,86,80,4.27
333,Alta Gracia,AR,62.29,-31.66,-64.43,93,90,3.36
334,Rio Gallegos,AR,42.8,-51.62,-69.22,81,20,6.93
335,Stolin,BY,27.33,51.89,26.85,82,44,7.29
336,Sokolo,ML,62.07,14.74,-6.12,31,0,11.88
337,Mallaig,GB,39.4,57.01,-5.83,85,92,4
338,Yima,CN,51.18,34.75,111.87,49,0,4.16
339,Tupik,RU,13.83,54.43,119.94,47,0,5.95
340,Okato,NZ,68.56,-39.19,173.88,85,100,8.01
341,Sitka,US,46.99,37.17,-99.65,85,88,10
342,Caravelas,BR,83.4,-17.73,-39.27,100,12,10.76
343,Lulea,SE,10.4,65.58,22.15,55,0,8.05
344,Bollnas,SE,12.03,61.35,16.39,72,0,5.17
345,Terrace,CA,35.13,54.52,-128.61,85,75,25.28
346,Khakhea,BW,72.33,-24.69,23.5,45,0,17.25
347,Malanje,AO,66.03,-9.54,16.35,98,76,2.37
348,Mogadishu,SO,80.79,2.04,45.34,100,12,18.59
349,Aswan,EG,59,24.09,32.9,21,0,6.93
350,Gisborne,NZ,80.01,-38.66,178.02,55,8,4
351,College,US,34.21,64.86,-147.8,89,90,5.82
352,Saint-Augustin,FR,38.82,44.83,-0.61,75,0,9.17
353,Rettikhovka,RU,37.41,44.17,132.77,83,92,8.97
354,Marsh Harbour,BS,74.58,26.54,-77.06,100,56,5.28
355,Turukhansk,RU,24.27,65.8,87.96,92,88,10.65
356,Ancud,CL,50,-41.87,-73.83,100,8,3.36
357,Pogar,RU,23.28,52.55,33.26,85,24,10.98
358,Longjiang,CN,27.69,47.33,123.18,40,48,15.01
359,Kaeo,NZ,75.58,-35.1,173.78,68,36,8.99
360,Zhuhai,CN,32,40.71,112.04,52,0,13.42
361,San Cristobal,EC,50.36,-0.39,-78.55,93,75,4.7
362,Oakdale,US,52.32,37.77,-120.85,57,1,4.7
363,Necochea,AR,62.01,-38.55,-58.74,72,56,3
364,Phalaborwa,ZA,71.6,-23.95,31.14,88,24,1.12
365,Vostok,RU,33.09,46.45,135.83,70,80,2.82
366,Alofi,NU,84.2,-19.06,-169.92,74,75,13.87
367,Shellbrook,CA,24.8,53.22,-106.39,73,90,4.7
368,Adrar,DZ,57.2,27.87,-0.29,30,0,9.17
369,Chapleau,CA,18.87,47.85,-83.4,75,76,5.28
370,Mareeba,AU,88.09,-16.99,145.42,70,0,9.17
371,Port Hueneme,US,57.54,34.15,-119.2,58,75,4.7
372,Port Hawkesbury,CA,33.03,45.62,-61.36,80,90,10.29
373,Qandala,SO,61.62,11.47,49.87,100,0,3.38
374,Paraiso,MX,71.6,24.01,-104.61,19,90,11.41
375,Kanigoro,ID,82.14,-8.13,112.22,100,12,3.94
376,Taltal,CL,54.78,-25.41,-70.49,91,0,2.82
377,Stalowa Wola,PL,33.96,50.57,22.06,86,75,10.29
378,Jalu,LY,54.42,29.03,21.55,37,88,3.38
379,Pacific Grove,US,52,36.62,-121.92,62,1,9.17
380,Ewa Beach,US,75.99,21.32,-158.01,50,1,6.93
381,Farah,AF,38.76,32.37,62.11,89,0,3.71
382,Kytmanovo,RU,20.94,53.46,85.45,91,92,8.19
383,Duluth,US,21.4,46.77,-92.13,62,1,6.93
384,Artyom,RU,35.6,43.36,132.19,80,75,8.95
385,Bonavista,CA,35.01,48.65,-53.11,87,92,5.99
386,Maningrida,AU,86.1,-12.05,134.23,80,32,11.21
387,Abramovka,RU,33.18,51.19,41.01,96,88,20.6
388,Harper,US,59.07,30.3,-99.24,87,90,4.7
389,Puerto Cabezas,NI,80.52,14.04,-83.39,91,64,16.35
390,Trat,TH,88.36,12.25,102.51,59,20,3.36
391,Palapag,PH,79.35,12.55,125.11,100,32,6.29
392,San Pedro,AR,63,-33.68,-59.66,94,92,1.99
393,Hualmay,PE,70.53,-11.1,-77.61,84,44,4.72
394,Talcahuano,CL,57.2,-36.72,-73.12,93,90,3.36
395,Inhambane,MZ,77.91,-23.87,35.38,95,32,9.75
396,Krasnogorsk,RU,27.41,55.82,37.34,79,0,8.95
397,Rongcheng,CN,39.48,37.16,122.42,55,76,13.11
398,Katherine,AU,95,-14.47,132.26,44,0,8.05
399,Mitsamiouli,KM,78.8,-11.38,43.28,88,75,5.82
400,Akdepe,TM,37.38,42.05,59.39,77,24,6.93
401,Barsovo,RU,28.4,61.17,73.17,92,75,4.47
402,San Angelo,US,54.05,31.46,-100.44,82,90,6.93
403,Maswa,TZ,63.51,-3.18,33.77,94,92,5.84
404,Armidale,AU,80.01,-30.51,151.67,31,0,3
405,Buta,CD,74.31,2.79,24.73,78,0,2.04
406,Surgut,RU,28.4,61.25,73.4,92,75,4.47
407,Novyy Urengoy,RU,19.68,66.08,76.63,92,76,9.64
408,Puerto Escondido,MX,82.4,15.86,-97.07,69,5,3.36
409,Kaoma,ZM,64.5,-14.8,24.8,88,12,4.83
410,Kirakira,SB,84.12,-10.46,161.92,100,0,10.09
411,Ahipara,NZ,78.01,-35.17,173.16,81,36,8.52
412,Chimoio,MZ,66.06,-19.11,33.48,93,75,6.93
413,Kirovskiy,RU,43.8,45.09,133.51,48,32,3.15
414,Manokwari,ID,82.95,-0.87,134.08,93,24,16.58
415,Narasannapeta,IN,82.86,18.42,84.04,76,0,2.37
416,Dikson,RU,1.95,73.51,80.55,87,48,15.68
417,Honiara,SB,81.87,-9.43,159.96,81,36,3.15
418,Sotnikovo,RU,23,51.88,107.48,57,56,2.24
419,Kisangani,CD,71.52,0.52,25.21,98,0,3.6
420,Rundu,NA,65.76,-17.91,19.77,83,20,2.59
421,Awjilah,LY,55.05,29.14,21.3,37,12,2.82
422,Ejutla de Crespo,MX,59.1,16.57,-96.73,67,0,2.71
423,Husavik,CA,17.82,50.56,-96.99,88,0,13
424,Tazmalt,DZ,51.58,36.39,4.4,93,20,10.29
425,Rio Grande,BR,74.58,-32.03,-52.1,82,24,17.13
426,Norman Wells,CA,19.4,65.28,-126.83,85,90,18.34
427,San Luis,AR,65.4,-33.3,-66.34,63,56,5.61
428,Wilmington,US,44.47,39.75,-75.55,42,1,12.75
429,Ixtapa,MX,75.6,20.71,-105.21,94,40,1.92
430,Ostersund,SE,-3.28,63.18,14.64,84,0,6.93
431,Salalah,OM,73.4,17.01,54.1,60,0,5.82
432,Camacha,PT,60.8,33.08,-16.33,77,75,4.7
433,Micheweni,TZ,81.15,-4.97,39.83,100,56,10.2
434,Locri,IT,54.07,38.24,16.26,66,75,12.75
435,Batagay-Alyta,RU,-3.1,67.8,130.41,68,0,3.38
436,Palmer,US,35.29,61.6,-149.11,93,90,5.82
